Title,Total Count,Unique Count
"Gyorgy Kepes papers, 1909-2003, bulk 1935-1985",12,4
"George Tooker papers, circa 1851-2010",12,1
"Paul Manship papers, 1863-1965",11,4
"Avis Berman research material on art and artists, 1976-2007",11,10
"Lloyd Goodrich papers, 1884-1987, bulk 1927-1987",11,8
"Yasuo Kuniyoshi photographs of artwork, circa 1945-1953",11,10
"Miscellaneous photographs collection, circa 1845-1980",11,10
"Francis Davis Millet and Millet family papers, 1858-1984, bulk 1858-1955",11,10
"John Quinn memorial collection in the New York Public Library, 1901-1925",11,7
"Myron Chester and Muriel Leone (Tyler) Nutting papers, 1890-1972",11,3
"Louisiana Purchase Exposition, Department of Art records, 1896-1908",11,8
"Photographs of artwork, 1960-1969",11,11
"Records of the Public Works of Art Project in Texas, 1933-1941",11,9
"Institute of Contemporary Art (Boston) records, 1936-1971",11,11
"Suzanne Mullett Smith papers, 1913-1992",11,6
"Charles Henry Hart autograph collection, 1731-1918",11,10
"American art today / New York World's Fair, c1939",11,10
"Emmet family papers, 1792-1989, bulk 1851-1989",11,7
"Research material on the WPA Illinois Art Project, 1930-1988",10,4
"Robert Chapman Turner papers, circa 1917-2005",10,10
"Douglas MacAgy papers, 1916-1973",10,5
"Cosmopolitan art journal, 1856-1861",10,10
"Art Front, 1934-1937",10,10
"Katharine Lane Weems papers, 1865-1989",10,2
"Richard Brown Baker papers, 1941-1979",10,8
"Florence Arquin papers, 1923-1985",10,7
"Sheldon Cheney papers, 1915-1972",10,6
"Joseph Cornell papers, 1804-1986, bulk 1939-1972",10,8
"Robert Arneson papers, circa 1963-1977",10,8
"F. Holland Day papers, 1858-1977",10,4
"George L. K. Morris papers, 1916-1967",10,7
"Exhibition : 200 American Watercolors / by the Section of Fine Arts, 1940",10,9
"Emily Hall Tremaine papers, circa 1890-2004",10,4
"William Benton papers, 1940-1983",10,9
"Carl Zigrosser papers, 1891-1971",10,5
"Robert Henri papers, 1870-1954",10,8
"Park Place, The Gallery of Art Research, Inc. records and Paula Cooper Gallery records, circa 1961-2018",10,2
"R. L. Ormond material relating to John Singer Sargent, 1851-1979",10,7
"Seymour Lipton papers, circa 1900-1991",10,8
"Ben Shahn letter, 1958",9,1
"Washington Project for the Arts records, ca. 1975-1990.",9,9
"John D. Morse papers, 1951-1960",9,6
"New York graphic, 1850",9,9
"Photographs of work by Federal Art Project artists in New Mexico, 1935-1943",9,8
"Madison art essay, 1939",9,7
"Theodore Wores papers, 1881-1967",9,2
"Stanton Macdonald-Wright collection, 1940-1950",9,7
"Letter from Homer Saint-Gaudens and clippings, ca. 1881-1913.",9,5
"Archives of San Diego Art Oral History Project interviews, 1979-1980",9,8
"College Art Association of America slides, 1971-1974",9,8
"American Academy in Rome records, 1855-2012",9,5
"Colette Roberts Papers and Interviews with Artists, 1918-1971",9,6
"Walter Elmer Schofield papers, 1885-1974",9,2
"George Ault papers, 1892-1980",9,8
"Philip Leslie Hale drawings, ca. 1880-ca. 1930",9,4
"Cole family miscellaneous print and photograph collection, circa 1820-1920",9,5
"Honoré Sharrer papers, circa 1920-2007",9,1
"Marlene Park and Gerald E. Markowitz research materials on New Deal Art, 1931-1999",9,5
"Clement Greenberg papers, 1937-1983",9,6
"Eleanor Jewett papers, 1892-1955",9,7
"Richard Lippold papers, 1940s-1977",9,5
"Archives of American Art sound recordings, 1957-2007",9,8
"Planning and operation of neighborhood museums, Nov. 20-22, 1969 / sponsored by The New York State Council on the Arts and the Dept. of Cultural Affairs, undated",9,9
"Edward Bruce papers, 1902-1960, bulk 1932-1942",9,6
"Alvin Lustig papers, 1935-1955",9,1
"Municipal Art Society of New York records, 1901-1960",9,9
"Charlotte Willard papers, 1939-1970",9,5
"Archibald Motley papers, 1925-1977",9,7
"Stuart Davis papers, 1934-1940",9,9
"Isabella Stewart Gardner papers, 1760-1956",8,7
"Fairfield Porter papers, 1888-2001, bulk 1924-1975",8,5
"Margueritte Kimball papers relating to the Cranbrook Academy of Art, 1929-1996",8,6
"American art: its progress and prospects / by John F. Weir, N.A., School of Fine Arts, Yale College, 1878",8,8
"George Platt Lynes photographs, 1926-1950",8,6
"Noah Purifoy papers, 1935-1998, bulk 1971-1998",8,2
"Interview with Robert Smithson, 1968",8,6
"Brooklyn Art Association records, 1861-1875",8,6
"Photo-librairie de France photographs of an exhibition organized by Gertrude Vanderbilt Whitney in Paris, 192-?",8,8
"Photographs of works of art by George Inness compiled by Julia G. Smith, circa 1926-1929",8,2
"Louis McClellan Potter papers, 1893-1917",8,6
"Chicago Latino/a Artists Studies Project (CLASP) files relating to Latino/a artists, 2004-2022",8,6
"Aline and Eero Saarinen papers, 1906-1977",8,3
"Mitchell Siporin papers, 1913-1990",8,3
"Albert Duveen art reference files, ca. 1831-1950",8,8
"Mary Cassatt collection, 1871-1955",8,7
"Andrew Dasburg and Grace Mott Johnson papers, 1833-1980, bulk 1900-1980",8,7
"Letters and clippings relating to the Solomon R. Guggenheim Museum, 1956-1958",8,7
"Leo Castelli Gallery records, circa 1880-2000, bulk 1957-1999",8,6
"Alton S. Tobey papers, 1939-1980",8,3
"Henry Drinker research material on Cecilia Beaux, circa 1880-1920",8,1
"John Singer Sargent letters, 1887-1922",8,6
"John Neagle papers, 1817-1865",8,4
"Kootz Gallery records, 1923-1966",8,7
"James W. Washington, Jr. papers, 1938-1989",8,8
"Raphael Soyer papers, 1933-1989",8,4
"Photographs of California artists, 1976-1993",8,7
