Title,Total Count,Unique Count
"John Roloff papers, 1980-2002",0,0
"Warren Eliphalet Rollins papers, ca. 1900-1984",0,0
"Roko Gallery records, 1929-1982, bulk 1970-1978",0,0
"John Rogers letter, 1889 Nov. 12",0,0
"Gretchen W. Rogers papers, 1901-1986",0,0
"Edward K. Rogers papers, 196-",0,0
"Alvin S. Romansky papers, 1940-1981",0,0
"Charles B. Rogers papers, 1963-1973",0,0
"Herb Rogalla papers, 1952-1979",0,0
"Richard Ralph Roehl papers, circa 1970-2008",0,0
"Original drawings for The Marcel Breuer Coloring Book, undated",0,0
"Demi and Arturo Rodríguez papers, circa 1952-2022",0,0
"Herman Rodnick papers on Hans Hofmann, 1947-1967",0,0
"Lawrence C. Rodda papers, 1924-1974",0,0
"Umberto Romano papers, ca. 1935-1979",0,0
"Frank Romero drawings, 1972-1973",0,0
"Rochette and Parzini records, 1938-1963",0,0
"Herman Rose papers, 1945-2007",0,0
"Letters to Albert Rosenthal, 1885-1936",0,0
"Bernard Rosenquit papers, 1945-1991",0,0
"Esther Rosencrantz letters, 1938-1951",0,0
"Ralph M. Rosenborg papers, 1935-1991",0,0
"George A. Rosenberg papers, 1937-1966",0,0
"Christopher Wilmarth letters to Allen Rosenbaum, 1987",0,0
"James Mahlon Rosen papers, 1959-1981",0,0
"Augustus Foster Rose papers, 1895-1996",0,0
"The president's speech opening his campaign : made before the Teamsters Union on September 23rd, 1944 / illustrated by nineteen artists, New York",0,0
"Rose Valley Folk records, 1901-1927",0,0
"Rose Fried Gallery Records, 1936-1972, bulk 1945-1970",0,0
"James Rosati papers, 1959-1974",0,0
"Rosamund Felsen Gallery records, 1949-2014, bulk 1978-2014",0,0
"Rosa Esman Gallery and Tanglewood Press Inc. records, circa 1922-2014, bulk 1972-1994",0,0
"Moses Ros papers, 1975-2023",0,0
"Edward Wales Root letters from Louis Eilshemius, ca. 1930",0,0
"Artists' portraits from Henry Tuckerman's Book of the Artists..., circa 1865-1867, undated",0,0
"Terence Harold Robsjohn-Gibbings papers, 1915-1977, 1898",0,0
"Jeanne Herron Richards papers, 1888-1981",0,0
"Martin Ries papers, 1942-1980",0,0
"Alexander Hay Ritchie letter to Rev. Carroll, 1891 May 26",0,0
"Louis Arthur Ripley glass transparencies, ca. 1908-1918",0,0
"A. Lassell Ripley papers, 1873-1973",0,0
"Photographs of artists taken by Michael Rinaldini, photographer., 1983",0,0
"Maude Kemper Riley papers, 1945-1983",0,0
"Interview with Gary Falk, 1984",0,0
"Carl Rieser papers relating to Juliana Force, 1844-1977",0,0
"Greville Rickard papers, 1917-1955",0,0
"Chris Ritter papers, 1907-1972",0,0
"Mischa Richter papers, 1915-1994",0,0
"Hans Theo Richter papers, ca. 1914-1981",0,0
"Clark Richert papers, circa 1950-2021",0,0
"Robert Richenburg papers, circa 1910s-2008",0,0
"Joseph Richardson business records, 1733-1831",0,0
"Two letters from Helen Richardson relating to Joseph Stella, 1957-1968",0,0
"E.P. (Edgar Preston) and Constance Richardson papers, 1814-1996, bulk 1921-1996",0,0
"Andrew Carnduff Ritchie papers, 1907-1983",0,0
"Receipt from Diego Rivera, 1935 Mar. 5",0,0
"Theodore Robinson papers relating to Hannah Brown Kingsbury, ca. 1870-1951",0,0
"Adelaide Alsop Robineau papers, 1977, 1904-1929",0,0
"Mary Turlay Robinson papers, 1923-1971",0,0
"John H. D. Robinson diplomas, 1947-1970",0,0
"Interviews with Franklin W. Robinson, 1992 Jan. 28 - Feb 26",0,0
"Florence V. Robinson papers and the Hapgood family collection relating to Florence V. Robinson, circa 1890-1990",0,0
"Charles C. Robinson day book, 1809-1825",0,0
"Louisa Robins papers, 1918-1968",0,0
"Selected art related documents from the Robins collection, 1939-1941",0,0
"Cary Robertson material relating to Henry Strater, 1965",0,0
"Enrique Riverón papers, 1918-1990s",0,0
"Letters to Helen Robertson, 1827",0,0
"George D. Roberts papers relating to George Demont Otis, 1975",0,0
"Robert Schoelkopf Gallery records, 1851-1991, bulk 1962-1991",0,0
"Robert E. and Evelyn McKee Foundation files, 1916-1984",0,0
"James Robb papers, 1846-1871",0,0
"Walter Rivers writings, 1937-1938",0,0
"Haywood Bill Rivers papers, 1946-1970",0,0
"Terry Schoonhoven papers, circa 1969-1980",0,0
"Ilya Schor papers, 1943-1968",0,0
"Benjamin Strong correspondence with Gari Melchers, 1924-1926",0,0
"Charles Schorre papers, 1964-1979",0,0
"Diane Spodarek papers, 1971-1990",0,0
"Eugen Spiro poster, 1942",0,0
"Victor Spinski papers, circa 1969-2008",0,0
"Interviews of Frances Grimes and Maxfield Parrish, ca. 1960",0,0
"LaSalle Spier papers, 1929-1945",0,0
"Nora Speyer and Sideo Fromboluti papers, 1927-2015",0,0
"Carlos Villa at the Farm videorecording, 1980",0,0
"Nancy Spero letters to Carol Homick, 1978",0,0
"Nicholas Sperakis papers, 1963-1981",0,0
"Research material relating to Arshile Gorky, 1957-1999",0,0
"Niles Spencer papers, 1826-1972, bulk 1900-1961",0,0
"John Spencer papers, 1930-1994, bulk 1933-1944",0,0
"George Spaventa papers, 1944-1980",0,0
"Victor D. Spark papers, circa 1830-1983, bulk 1930-1970",0,0
"Spanierman Gallery records, 1882-2016, bulk 1980-2014",0,0
"Vincent Spagna papers, 1935-1947",0,0
"Otto Spaeth letters, 1953 and undated",0,0
"Spokane Art Center records, 1939-1952",0,0
"Frank L. Spradling papers, 1909-1979",0,0
"Lloyd Howard letter, 1955 July 23",0,0
"Ted Stamm slides of works of art and exhibitions, circa 1968-1986, 2018",0,0
"Joseph Stapleton papers, 1942-1998",0,0
"Pete Stanley diary, 1961-1962",0,0
"John Mix Stanley scrapbook, 1843-1868",0,0
"Jack Warren Stangle papers, 1955-1980",0,0
"Julian Stanczak papers, 1938-2002",0,0
"Theodoros Stamos letters to James DiMartino, 1977-1988",0,0
"Theodoros Stamos letters to Diran Deckmejian, 1977-1995",0,0
"Earl Staley papers, 1960-1981",0,0
"Springs Improvement Society exhibition records, 1962-1980",0,0
"Staempfli Gallery records, 1958-1992",0,0
"Artists working on Coit Tower mural graphic / Peter Stackpole, 1934",0,0
"Gael Stack papers, 1970-1982",0,0
"Wilmington Museum of Art papers, 1938-1942",0,0
"C. Clyde Squires papers, 1904-1974",0,0
"William Henry Spurlock papers, 1971-1973",0,0
"Everett Spruce papers, 1936-1983",0,0
"Eloise and Otto Spaeth papers, 1937-1983",0,0
"Space Gallery records, 1967-1995",0,0
"Artists' statement, 1947",0,0
"Chester D. Snowden papers, 1922-1982",0,0
"Otto Soglow papers, undated",0,0
"Society of North American Goldsmiths records, 1949-2008, bulk 1965-2008 bulk 1965-2008",0,0
"Catalogue of the art loan exhibition, for the benefit of the Society of Decorative Art of California, at the rooms of the San Francisco Art Association, 430 Pine Street, April 1881, 1881",0,0
"Society of American Graphic Artists records, 1916-1992",0,0
"Catalogue of the Society of American Fakirs, 1891-1914?",0,0
"Interview with Walter Murch, 1966",0,0
"Sylvia Snowden papers, 1962-2017",0,0
"Kenneth Snelson papers, 1947-2016",0,0
"SoHo Artists Association records, 1968-1978",0,0
"Photographs of Joseph Horchert, circa 1920",0,0
"Oral History interviews with Ed Rossbach and Katherine Westphal, 1997",0,0
"Paul J. Smith papers, 1940-2020",0,0
"Pamela Colman Smith letters, 1896-1900",0,0
"Leon Polk Smith papers, 1921-1997",0,0
"James B. Smith papers, 1970-1976",0,0
"Jacob Getlar Smith papers, circa 1919-2010",0,0
"Soho 20 records, 1972-1979",0,0
"Miron Sokole papers, 1935-1971",0,0
"Raphael Soyer lecture, 1960",0,0
"Jean and Hilbert Sosin papers, 1972-2004",0,0
"Moses Soyer letter, undated",0,0
"Isaac Soyer letters and photograph, 1938-1946",0,0
"Southwestern Watercolor Society records, 1964-1982",0,0
"Southwest Arts Foundation records, 1980-1982",0,0
"Panel discussion, ""Amatuerism in art"", ca. 1960",0,0
"Antonio Sotomayor papers, circa 1920-1988",0,0
"Ishmael Soto papers, 1967-1981",0,0
"George Sorrels papers, 1980-2005",0,0
"Ramona Solberg papers, 1926-2007",0,0
"Sorine photographs and exhibition catalog, 1948",0,0
"William Louis Sonntag sketchbook, 1869-1870",0,0
"Frank Sommer letter to unidentified recipients, 1904 Mar. 26",0,0
"Some Serious Business records, 1972-1986",0,0
"Hyde Solomon papers, 1911-1983",0,0
"Joseph Solman papers, 1933-1998",0,0
"Paul Soldner papers, 1965-1983",0,0
"Otto Stark papers, 1878-1972",0,0
"Nina Howell Starr papers, circa 1933-1996",0,0
"State of the art : Beatrice Wood videorecording / producer, Lee Waisler ; director, Michael Herzmark ; writers, Lee Waisler and Michael Herzmark, c1983",0,0
"Susan Stinsmuehlen papers, 1976-1984",0,0
"Richard Henry and Elizabeth B. Stoddard letters, 1852-1910",0,0
"Alice Kent Stoddard photograph album, ca. 1906-1971",0,0
"Bob Stocksdale and Kay Sekimachi papers, circa 1900-2015",0,0
"Jessica Stockholder papers, circa 1970- circa 2020",0,0
"Marguerite Stix papers, 1971-1974",0,0
"Judith Saul Stix papers relating to Bessie Lowenhaupt, 1961-1982",0,0
"Hugh Stix papers, 1947-1963",0,0
"James Stillman letters relating to Homer Dodge Martin, 1882-1898",0,0
"Eloise Yantis Stoker papers, 1969-1980",0,0
"Ary Stillman papers, 1924-1983",0,0
"Cezanne: a study in evaluation / by Clyfford E. Still, 1935",0,0
"Knute Stiles papers, 1947-1971",0,0
"Knute Stiles letters to Richard Amero, 1992-2004",0,0
"Regina Stewart papers, 1959-2010",0,0
"Jack Stewart papers, 1926-2010",0,0
"Hannah Stewart papers, 1955-1983",0,0
"Winifred L. Stoelting material on Hale Woodruff, 1978",0,0
"Alexander Stoller papers, 1860-1996, bulk 1920s-1996",0,0
"Screenprint in the making videorecording: Sondra Freckelton collaborates with Norman Stewart in the creation of the fine screenprint entitled Blue Chenille, undated",0,0
"Henry Strater papers, 1913-1973",0,0
"Earl W. Stroh papers, 1960-1983",0,0
"Marjorie Strider papers, 1965-1978",0,0
"Marianne Strengell papers, 1904-1980s",0,0
"Fremden Buch = foreigner's book, 1853-1905",0,0
"Interview with Sterling Strauser, 1989 Aug. 10",0,0
"Sterling Strauser collection of Louis Eilshemius and Justin McCarthy materials, 1882-1934",0,0
"Mary Chase Stratton papers, circa 1846-1959",0,0
"Interview with Paul Strand, 1973 Jan. and undated",0,0
"Stone and Press Gallery records, circa 1980-2016",0,0
"James W. Stover papers, ca. 1960-1981",0,0
"Myron Stout journal, 1950-1967",0,0
"Margaret A. R. Stottlemeyer papers, 1910-1925",0,0
"Storm King Art Center records, 1972-1978",0,0
"Mary Perry Stone papers, 1937-1994",0,0
"M. Lee Stone correspondence with Gerald K. Geerlings, circa 1980-1996",0,0
"Arthur J. Stone workshop/Stone Silver Shop/Stone Associates records, 1824-1958",0,0
"Dorothy Stewart papers, 1930-1957",0,0
"Beulah E. Stevenson papers, 1925-1966",0,0
"Video recordings on Richard Stankiewicz and other sculptors, 1973-1979",0,0
"Wilfred and Myrtle Stedman scrapbooks, 1928-1984",0,0
"Philip Stein papers regarding David Alfaro Siqueiros, 1933-2012",0,0
"Beatrice Wood letters to Elizabeth Stein, 1988-1998",0,0
"Raymond L. Stehle papers relating to Emanuel Leutze, 1910",0,0
"J. L. Steg papers, 1939-2017",0,0
"Joseph Stefanelli photographs, undated",0,0
"Steel Gallery records, 1955-1982",0,0
"Robert Steed papers, 1935-1975",0,0
"Wolfgang Stechow papers, 1943-1974",0,0
"Harris B. Steinberg papers, 1960-1968",0,0
"William Frederick Stecher papers, 1889-1918",0,0
"Monroe Stearns research papers on Henry Varnum Poor, 1938-1975",0,0
"Photographs of Alexander Stavenitz and Barbara Burrage, 1931",0,0
"Selected art related documents from the David McNeely Stauffer Collection, 1757-1884",0,0
"David McNeely Stauffer papers, 1817-1910",0,0
"Jack Werner Stauffacher papers, 1956-1958",0,0
"Staten Island Institute of Arts and Sciences records, 1847-1945",0,0
"Sandy Stein papers, 1977-1981",0,0
"Remarks prepared by Mr. Saul Steinberg for a luncheon given in his honor at the Smithsonian Institution on February 27, 1967, 1967 Feb. 27",0,0
"Will Henry Stevens papers, 1907-1950",0,0
"Irene Stern papers, 1934-1936 and undated",0,0
"May Stevens papers, 1967-1982",0,0
"Charles Walter Stetson papers, 1879-1974",0,0
"Harold Sterner papers, 1929-1978",0,0
"Albert Sterner letters, 1894-1916",0,0
"Albert and Marie Sterner letters received, 1899-1945",0,0
"Hedda Sterne interview, 2005",0,0
"Louis E. Stern papers, 1897-1978",0,0
"H. Peter Stern audio visual material documenting Storm King Art Center, 1997-2005",0,0
"Arthur J. Hall Smith correspondence with Charles K. Steiner, 2007-2011",0,0
"Edith M. Stern papers, 1962-1973",0,0
"J. Davidson Stephen papers, 1942-1945",0,0
"Stephen Wirtz Gallery records, 1952-2016",0,0
"Stephen Radich Gallery records, 1942-1979",0,0
"John Stephan papers, ca.1930s-1970s",0,0
"Bettina Steinke papers, 1936-1998",0,0
"Kate Steinitz papers, circa 1910-2002",0,0
"Houghton Cranford Smith papers, 1890-1991",0,0
"Gladys Nelson Smith papers, 1891-1989",0,0
"Frank Vining Smith papers, 1922-1969",0,0
"Dixie Selden papers, 1837-1936, 1993-2001",0,0
"Olaf Carl Seltzer papers, 1926-1935",0,0
"Evaline C. Sellors papers, 1915-1980",0,0
"Charles Coleman Sellers papers, ca. 1940-1978",0,0
"Cynthia Johanson photographs of artists and works of art, 1987-2007",0,0
"Emily and Jean Paul Selinger papers, 1882-1918",0,0
"Radio interview with Otto Seligman, 1965 Nov",0,0
"Jason Seley papers, 1928-2003, bulk 1928-1983",0,0
"Roger Selchow Drawings, circa 1940",0,0
"Joan Semmel papers, 1949-2013, bulk 1960-2013",0,0
"Don Seiler papers, circa 1930-2020",0,0
"Doris Seidler letters from Dorothy Dehner, 1978-1994",0,0
"Frank Seiberling research material on George Bellows, 1934-1962, bulk 1934-1948",0,0
"Segura Publishing Company records, 1976-2014",0,0
"Ilene Segalove papers, 1960-2021",0,0
"Joan Seeman papers, 1973-1981",0,0
"Photographs of Robert Henri's class at the Art Student's League, 1909",0,0
"Peter Howard Selz papers, 1929-2018, bulk 1950-2005",0,0
"Evolving Forms with Frances Senska/ Montana State University; writer and director, Tim Schwab, 1978",0,0
"Charles Searles papers, 1953-2010",0,0
"Mary Shaffer papers, 1969-2002",0,0
"Ellen Sharp letter, 1972 Oct. 30",0,0
"René Shapshak papers, 1946-1974",0,0
"Joseph Randall Shapiro and Jory Shapiro papers, 1943-1985",0,0
"Joe Shannon papers, circa 1980-2005",0,0
"David Shaner papers, 1937-2007, bulk 1968-1998",0,0
"Fred Shane correspondence, 1922-1976",0,0
"Myer Shaffer scrapbook, ca. 1930-1941",0,0
"Truman Seymour papers, 1844-1974, bulk 1844-1890",0,0
"Zoltan L. Sepeshy papers, 1958-1965",0,0
"Charles Fred Sexton papers, 1956-1992",0,0
"Louis Lozowick exhibition records, 1973",0,0
"Andres Serrano papers, 1986-2013",0,0
"Lecture given by Richard Serra, 1988 Apr. 16",0,0
"Lenore Seroka photographs, 1977-1984",0,0
"Frederick Serger papers, 1920-1965",0,0
"Heikki Seppa papers, 1944-1996",0,0
"Philip Shelton Sears papers, 1930-1946",0,0
"Excuse my dust art original / Sarah Seager, 1992-1993",0,0
"Ceremonies for the presentation of a portrait of the Honorable Adrian Jefferson Newton to the Supreme Court of North Carolina., 11:00 A.M., 4 March 1977, Courtroom of the Supreme Court Justice Building, Raleigh, 1977 Mar. 4",0,0
"George Schriever papers, 1973-1984",0,0
"Prescott D. Schutz research files on Fairfield Porter, 1955-1990",0,0
"Anton Schutz papers, 1911-1977",0,0
"Antoinette Schulte papers, 1923-1973",0,0
"Jon Rudolf Schueler papers, 1942-1982",0,0
"Charles Schucker Papers, 1934-2001",0,0
"John Schrup and Sally Tobin papers, 1955-1980",0,0
"Henry Schroeder letter from Neely Schroeder, 1858 Oct. 11",0,0
"Greta L. Schreyer papers, 1956-1979",0,0
"June Schwarcz papers, 1932-2014",0,0
"Zipora Lillian Schreiber papers, circa 1940-1977",0,0
"Leo J. Schreiber papers, 1904-1992",0,0
"Georges Schreiber papers, 1940-1973",0,0
"Radio interview with Georges Schreiber, 1965 Dec",0,0
"Viktor Schreckengost papers, 1933-1995",0,0
"Marlis Schratter papers, 1956-2004",0,0
"Karl Schrag papers, 1937-1970",0,0
"Claudia Schwalb papers, 1984-1996",0,0
"Judith Schwartz papers, 1977-2021, bulk 1992-2007",0,0
"Edward Seager sketches and photograph, 1832-1871",0,0
"Henry Edwards Scott, Jr. papers, 1908-1990",0,0
"Effie Seachrest papers, 1921-1966",0,0
"Sculptors Guild records, 1936-1979",0,0
"Scull family scrapbook, 1953-1996",0,0
"Ad Reinhardt postcards to Katherine Scrivener, 1951 Apr. 16",0,0
"Letters to Sue Scott from artists, 1987-1988",0,0
"Stevenson Scott papers relating to Augustus John, 1923-1949",0,0
"Joyce J. Scott papers, 1914-2019, bulk 1970s-2000s",0,0
"Printed material relating to Wallace Berman and George Herms, 1968-1984",0,0
"Kit Schwartz interviews with artists, 1977-1978",0,0
"Edwin Scott photograph and catalog, 1926-1970",0,0
"Scott & Fowles artists' files, 1904-1946",0,0
"Arthur Schwieder papers, 1932-1962",0,0
"William S. Schwartz papers, 1921-1967",0,0
"Sanford Schwartz papers, 1948-2011",0,0
"Muriel Streeter Schwartz letters from Joseph Cornell, 1957-1963",0,0
"Manfred Schwartz papers, 1934-1966",0,0
"Joseph Henry Sharp papers, ca. 1903-1947",0,0
"Mary Elizabeth Sharpe interview, 1979 May 31",0,0
"Emily Guthrie Smith papers, 1941-1979",0,0
"Interview with Gretchen Dow Simpson, 1992 July 16",0,0
"Aaron Siskind papers, 1967-1977",0,0
"Sal Sirugo papers, 1936-1976",0,0
"Nell (Eleanor) and Stanley Sinton papers, circa 1920-1993",0,0
"Marian W. Sinton papers, 1962-1971",0,0
"Clyde Singer papers relating to Emerson C. Burkhardt, 1947-1969",0,0
"Southwest Alternate Media Project videos videorecordings/ Producers, Tom Sims and Laurie McDonald, undated",0,0
"Lowery Stokes Sims papers, 1967-2019",0,0
"Amory C. Simons photographic materials, circa 1910-circa 1984, bulk circa 1910-circa 1920s",0,0
"Theodore Sizer research material on John Trumbull, 1790-1952",0,0
"Amory C. Simons papers, ca. 1890-1934",0,0
"Sidney Simon papers, circa 1917-2008, bulk 1940-1997",0,0
"Michael Simon papers, circa 1965-2020",0,0
"Caroline Simon correspondence with Justin K. and Hilde Thannhauser, 1974-1981",0,0
"Bernard Simon papers, 1950-1977",0,0
"Carroll Harris Simms papers, 1945-1980",0,0
"Simka Simkhovitch papers, 1931-1987",0,0
"Mary Margaret Sittig research material on Louis Prang, 1860-1978",0,0
"Jacqueline Skiles papers, 1963-1980",0,0
"Signa Gallery records, 1957-1963",0,0
"Allan Otho Smith papers, 1973-1979",0,0
"E. Herndon Smith papers, 1936-1942",0,0
"E. Boyd Smith diary, 1882-1886",0,0
"Donald C. Smith interviews relating to Edwin Dickinson, 1981-1986",0,0
"Radio interview with David Smith, 1964 Oct. 25",0,0
"David Loeffler Smith papers, circa 1946-2012",0,0
"Carlyle H. Smith papers, 1977-1981",0,0
"Arthur Hall Smith papers, 1947-2009",0,0
"Smith Andersen Gallery records, 1963-1981",0,0
"Olaf Skoogfors papers, ca. 1947-1987",0,0
"Mary-Leigh Smart papers, 1963-1978",0,0
"Jean Paul Slusser papers, 1910-1969",0,0
"Esphyr Slobodkina papers, circa 1925-1995",0,0
"Junius R. Sloan papers, 1829-1900",0,0
"Rose Slivka papers, circa 1947-2006",0,0
"Lecture given by Ronald Alfred Slayton, 1988",0,0
"C. Arnold Slade papers, 1909-2002",0,0
"Thomas A. Sills papers, 1955-1968",0,0
"Violet M. Sigismund papers, 1947-1974",0,0
"Madeleine Sharrer papers, 1968-1990",0,0
"Charles Sheeler letter to Frank Crowninshield, 1939 Sept. 27",0,0
"Ronven Owen Sherower papers, 1977",0,0
"Frederic Fairchild and Julia Munson Sherman papers, 1874-1970",0,0
"Leon Sherker papers, 1934-1970",0,0
"William Henry Shelton autobiography, 1840-1890",0,0
"Sheldon Ross Gallery records, circa 1970-2007, bulk 1976-1995",0,0
"Shelburne Falls Art Center records, 1945-1952",0,0
"Millard Sheets papers, circa 1907-2000",0,0
"Edward M. Plunkett mail art to Richard Shebairo, 1983-1986",0,0
"Fred R. and Shirley Sherry papers, 1955-1957",0,0
"Max Shaye papers relating to Jacques Lipchitz, 1968-1969",0,0
"Thomas Mott Shaw papers, 1895-1967",0,0
"Inscribed reproduction of landscape painting by Samuel T. Shaw, 1917",0,0
"Richard Shaw papers, 1962-2003",0,0
"Joshua Shaw palette, ca. 1820",0,0
"Horatio W. Shaw papers, 1880-1975",0,0
"Aaron Draper Shattuck papers, 1810-1983",0,0
"Daniel Sherry writings, 1983",0,0
"Gertrude Shibley papers, 1941-1975",0,0
"Roberto Sifuentes papers, circa 1988-2006, bulk 1993-2000",0,0
"Lily Shuff papers, 1941-1975",0,0
"Maurice Sievan papers, 1934-1983",0,0
"Maurice Sievan graphic / Lee Sievan, photographer, undated",0,0
"Lundy Siegriest papers, circa 1925-1989",0,0
"Siden Gallery records, 1962-1970",0,0
"Will Shuster papers, undated and 1914-1970",0,0
"Roswell Morse Shurtleff papers, 1862-1871 and undated",0,0
"Morris Shulman papers, 1943-1976",0,0
"Harrie Moore Shrady scrapbook, 1902-1922",0,0
"Luis Jimenez letters to Rochelle ""Shelly"" Shicoff, 1981-1998",0,0
"John Shown papers, 1937-1984",0,0
"Elizabeth Shoumatoff papers, 1945-1991",0,0
"Harry Shoulberg papers, 1904-1983",0,0
"Kenneth Shopen papers, 1931-1984",0,0
"Myrna Shiras papers, 1954-1976",0,0
"Letter to Robert Rutherford, 1764 June 28",0,0
"Earl Shinn letters and diary from the collection at Swarthmore College, 1852-1889",0,0
"Robert B. and Beatrice C. Mayer Family Collection records and papers, circa 1940-2020, bulk circa 1960-2005",0,0
"Nathan Kredenser papers, ca. 1950-1990",0,0
"Marian S. Mayer research material on Grant Wood, 1932-1966",0,0
"Ken Cory papers, 1965-1994",0,0
"Helen Covensky papers, 1942-1981",0,0
"Rosemary Cove papers, 1976-1980",0,0
"Martine-Elisa Coutarel dissertation on Jacques Lipchitz, 1983",0,0
"Lee Winslow Court papers, 1929-1982",0,0
"William Couper papers, 1872-1971, bulk 1872-1908",0,0
"Greta Elena Couper research material on Thomas Ball and William Couper, circa 1850-1988",0,0
"Robert Cottingham papers, 1953-1995",0,0
"Francis J. Costa papers, 1965-1976",0,0
"Niccolo Cortiglia papers, 1920-1982",0,0
"Edward and Rosamond Walling Tirana Corbett papers, 1932-1978",0,0
"Pepe Coronado papers, 1995-2016",0,0
"Dean Cornwell papers, 1893-1981",0,0
"John Cornish letter to George Tolbert, 1942 July 27",0,0
"Francis duPont Cornelius papers, 1927-1978",0,0
"Brother Cornelius papers relating to William Keith, 1908-1955",0,0
"Papers relating to exhibitions and catalogues of Lovis Corinth, 1956-1982",0,0
"Jon Corbino scrapbooks, 1927-1966",0,0
"Printed material relating to Jon Corbino, circa 1920-2010",0,0
"Covo de Iongh Gallery scrapbook, 1975-1978",0,0
"Elizabeth Cowan papers relating to the Keramic Society and Design Guild of New York, 1912-1952",0,0
"Coward-McCann book illustrations, circa 1930-1950",0,0
"Cowboy Artists of America, 1981-1983",0,0
"Cranbrook Foundation records, 1912-1960",0,0
"Rollin McNeil Crampton papers, 1939-1964",0,0
"Edsel M. Cramer papers, 1940-1980",0,0
"Douglas Cramer papers, circa 1970-2014",0,0
"Ralph Adams Cram letters to Rev. Lyman P. Powell, 1899",0,0
"Robert James Crabb papers, 1909-1940",0,0
"Renee V. Cox papers, 1945-2016, bulk 1990s",0,0
"Ten huize Jan Cox videorecording / Belgium Radio and Television ; interviewer, Joos Florquin, 1976",0,0
"Jan Cox papers, 1934-1972",0,0
"Gardner Cox papers, 1920-1995",0,0
"Allen Howard Cox papers, 1900-1920",0,0
"Russell Cowles inventory notebooks, ca. 1939-1975",0,0
"Hobart E. Cowles papers, 1924-1980",0,0
"Fleur Cowles printed material, undated and 1968",0,0
"Claude C. Cowles papers relating to Earl Kerkam, 1972-1973",0,0
"Eileen Cowin papers, circa 1900-2020",0,0
"Olive Thompson Cowell papers, circa 1940-1982",0,0
"Corbino Galleries records, 1979-2009",0,0
"S.M.S, 1968",0,0
"Frances Colpitt papers, 1932-2022",0,0
"Claribel and Etta Cone letters, 1898-1949",0,0
"Robert F. Conover papers, 1947-1979",0,0
"Ruth Teschner Costantino papers and Connoisseur Inc. records, 1910s-1981",0,0
"Clyde Connell papers, 1952-1981",0,0
"Jay H. Connaway papers, 1896-1979",0,0
"William Conger papers, circa 1940s-2018",0,0
"Kristin Congdon research material regarding Ruby C. Williams and Florida folk artists, circa 1997-2019",0,0
"Photographs of The Highwaymen artists, circa 2014-2015",0,0
"Michèle Cone papers, 1959-2020",0,0
"Selected art related letters from the George M. Conarroe Autograph Collection, 1804-1864",0,0
"John Singleton Copley letter to Samuel Adams, 1795 Oct 8",0,0
"Howard Somers Conant papers, 1944-1987",0,0
"Committee for the Simon Rodia Towers in Watts records, 1953-1989",0,0
"Committee for Fair Representation in Art Exhibitions records, 1961-1964",0,0
"Elisabeth Commanday papers, 1949-1975",0,0
"W.W. Comfort letter from Maxfield Parrish, 1908 June 15",0,0
"Columbianum records, 1794-1795",0,0
"Columbian Society of Artists records, 1810-1849",0,0
"Columbia Historical Society records, 1891-1980",0,0
"Rosalind Constable papers, 1935-1967",0,0
"W. G. Constable photograph and clipping, undated",0,0
"W.G. Constable papers, 1905-1983, bulk 1920-1976",0,0
"George Constant papers, 1912-2007, bulk 1932-1978",0,0
"John Singleton Copley note, ca. 1800",0,0
"John Singleton Copley receipt, 1782 Aug. 17",0,0
"George Cope papers, 1878-1929",0,0
"William Arthur Cooper papers, 1918-1941",0,0
"Letter to Sally (Sara) Coombe, 1770 Aug. 17",0,0
"John L. Cooley papers, 1968-1971",0,0
"Dixie Cooley papers, 1948-1952",0,0
"Kathleen Cooke papers, 1969-1979",0,0
"Hereward Lester Cooke papers, circa 1970-1975",0,0
"Robert William Cook papers, 1938-2003",0,0
"Lia Cook papers, 1968-2012",0,0
"Gladys Emerson Cook papers, circa 1941-1946",0,0
"Daniel Cook sketchbook and diary, 1932",0,0
"Belisario Contreras papers, 1943-1984",0,0
"Contemporary Arts Museum records, 1957-1972",0,0
"Contemporary Arts Center records, 1976-1980",0,0
"Olga Constantine papers relating to James Lee Byars, 1997, circa 1953-circa 1964",0,0
"John Cranch papers, 1831-1892",0,0
"Arnold Crane portfolio of photographs, ""Portraits of the Photographers,"", 1968-1969",0,0
"Cranmer Art Group records, circa 1980-2021",0,0
"William P. Daley papers, circa 1905-2022, bulk 1951-2010",0,0
"Dalí paints the invisible straight from nature, 1936",0,0
"Stephen J. Daly papers, 1980-1984",0,0
"Nellie Murtha Daly papers, circa 1890-1914",0,0
"Cyrus Edwin Dallin papers, circa 1878-circa 1970",0,0
"Cyrus Dallin scrapbook, 1893-1896",0,0
"Chapu and the Prix de Rome / Cyrus E. Dallin, ca.1940",0,0
"Dallas Museum of Fine Arts records, 1904-1975",0,0
"Dallas Museum for Contemporary Arts records, 1955-1966",0,0
"Gloria Dale papers, 1952-1970",0,0
"Thomas Crawford letter to ""Greene"", undated",0,0
"Chester Dale papers relating to George Bellows, 1919-1956",0,0
"Marjorie Daingerfield papers, 1920-1968",0,0
"Louise Dahl-Wolfe and Meyer (Mike) Wolfe Christmas card to unidentified recipient, 194-?",0,0
"Arthur L. and Joyce Lyon Dahl papers, 1926-1988",0,0
"D. W. Gallery records, 1975-1981",0,0
"René d'Harnoncourt papers, 1921-1983",0,0
